Category,Web Link,,,,,,Language,Free / Pay
How to open bank account,http://www.piraeusbank.gr/en/personal-banking/proionta/katatheseis/personal-banking,,,https://www.hba.gr/Publications/Info/leaflets,,,"Posible values:
Greek, English","Posible values:
Free,  Pay"
How to get a social security number,https://www.amka.gr/aparaitita.html,,,,,,,Free 
How to register (Katehaki),http://asylo.gov.gr/en/,,,,,,,
Health services,http://medinfo.gr/index.php,,,,,,,
Food,,,,,,,,
Food from your country,,,,, ,,,
Showers,,,,,,,,
Women,,,,,,,,
Disability (special needs),http://www.esamea.gr/,,,https://seepeaa.gr/Homepage.asp?ITMID=7,,,,
LGBT+ Information,http://www.colouryouth.gr/en/,,,,,,,